Ma Bao         |Ten Bai Bao                                                      |Ma Tac Gia               |Ma Tap Chi                                   |Thoi Gian 
ART5           |Cong nghe nap va luu tru nang luong tren xe may dien             |AU6                      |DTKHCN                                       |2021      ,
ART9           |Danh gia tac dong kinh te - xa hoi VTV quoc gia Nui Luot         |AU8                      |TCKTDB                                       |2019      ,
ART7           |Du doan luc can cho mo hinh tau KVLCC2                           |AU23                     |DTKHCN                                       |2020      ,
ART3           |Giai phap cong nghe ung dung hydrate biogas                      |AU6                      |DTKHCN                                       |2021      ,
ART19          |Nghien cuu tinh toan va mo phong hieu suat may phat dien biogas  |AU3                      |DTKHCN                                       |2021      ,
ART16          |Nghien cuu ung dung ky thuat PCR trong chan doan benh            |AU9                      |DTYH                                         |2022      ,
ART8           |Nhan dang su co tren luoi dien phan phoi dua tren TNTT           |AU14                     |DTKHCN                                       |2020      ,
ART18          |Phan tich su phat trien cua thi truong nang luong tai Viet Nam   |AU11                     |TCKTDB                                       |2021      ,
ART6           |Power flow incorporating cost-based droop control                |AU13                     |DTKHCN                                       |2020      ,
ART10          |San xuat nong nghiep ung dung cong nghe cao o An Do              |AU19                     |TCCSSK                                       |2019      ,
ART11          |Tac dong cua chuong trinh phat trien nong thon                   |AU21                     |KHCNLN                                       |2017      ,
ART4           |Thiet ke may ep vien nen nhien lieu RDF tu chat thai sinh hoat   |AU6                      |DTKHCN                                       |2021      ,
ART17          |Thiet ke va tinh toan mo hinh may khoan tu dong                  |AU18                     |DTKHCN                                       |2022      ,
ART12          |Thuc hien chinh sach Bao hiem xa hoi, bao hiem y te              |AU21                     |KHCNLN                                       |2017      ,
ART14          |Tieu chuan va ky thuat hop tac huan luyen quan su quoc te        |AU5                      |TCQG                                         |2022      ,
ART13          |Vai tro cua nha nuoc trong phat trien nong nghiep nong thon      |AU20                     |TCADCA                                       |2018      ,
ART15          |Xay dung he thong giam sat moi truong bang cong nghe IoT         |AU12                     |TCKTDB                                       |2022      ,
ART22          |bai bao da chinh sua                                             |AU30                     |DTYH                                         |2023      ,
ART21          |Bai nghien cuu cua thanh                                         |AU22                     |DTYH                                         |2023      ,
ART40          |Test                                                             |AU30                     |DTYH                                         |2023      ,
ART41          |Test2                                                            |AU40                     |TCPL                                         |2023      ,
